game_id,side,speed,num_moves,result,panic_score,time_per_move,capture_rate,sacrifice_rate,check_rate,early_aggression,castle_move,piece_activity,avg_material_diff,gambit_tendency,sharp_opening,decisive_game,opening_name,opening_eco,status,cluster_kmeans,cluster_gmm,cluster_dbscan,cluster_hierarchical,gmm_prob_cluster_0,gmm_prob_cluster_1
ovXf5I0A,black,bullet,128,1,0.5416666666666666,90.36507936507935,0.203125,0.09375,0.109375,2,20.0,6,0.40625,0,0,1,Rapport-Jobava System,D01,outoftime,1,0,-1,0,1.0,2.337761917175878e-22
KyVLw4xS,white,bullet,115,0,0.4046717171717172,89.84210526315789,0.2068965517241379,0.0344827586206896,0.0344827586206896,1,9.0,6,0.293103448275862,0,0,0,Zukertort Opening: Kingside Fianchetto,A04,draw,0,1,-1,1,0.0,1.0
oPmPGF8X,black,bullet,37,-1,15.45,65.88888888888889,0.2222222222222222,0.1111111111111111,0.0555555555555555,2,4.0,7,0.4444444444444444,0,0,1,King's Indian Attack: Symmetrical Defense,A05,resign,1,0,-1,0,1.0,1.211930802178735e-212
bDRN4aOQ,white,bullet,83,1,1.5945945945945943,102.82926829268293,0.2142857142857142,0.0952380952380952,0.0,1,8.0,6,0.8571428571428571,0,0,1,Zukertort Opening,A05,outoftime,1,0,-1,0,1.0,8.13785288962358e-21
OwBe22yo,black,bullet,113,0,0.7850877192982456,105.6,0.2678571428571428,0.0714285714285714,0.0892857142857142,3,15.0,3,1.4107142857142858,0,0,0,Modern Defense: Pseudo-Austrian Attack,B06,draw,0,1,-1,1,0.0,1.0
O79p4glP,white,bullet,77,1,1.8539325842696628,96.42105263157896,0.2564102564102564,0.0,0.0769230769230769,2,9.0,5,0.6153846153846154,0,0,1,"English Opening: King's English Variation, Four Knights Variation, Flexible Line",A28,resign,1,0,-1,0,1.0,2.7277509027691186e-20
P8sDo8tc,black,bullet,88,1,1.2335858585858586,90.06976744186046,0.3181818181818182,0.1136363636363636,0.0454545454545454,0,8.0,4,0.6818181818181818,0,0,1,Modern Defense,B06,resign,1,0,-1,0,1.0,1.8045284528009647e-24
GILE0fmS,white,bullet,126,-1,0.5225903614457832,95.28571428571428,0.1904761904761904,0.0634920634920634,0.0,0,5.0,4,-0.492063492063492,0,0,1,"Italian Game: Classical Variation, Giuoco Pianissimo",C54,outoftime,1,0,-1,0,1.0,1.3770659526187968e-29
ony4vIqh,black,bullet,80,1,2.595454545454545,79.12820512820512,0.2,0.025,0.05,1,7.0,6,0.3,0,0,1,Alekhine Defense: Brooklyn Variation,B02,resign,1,0,-1,0,1.0,6.642189663362848e-27
7QfHIkvB,black,bullet,81,0,1.6987951807228916,84.8,0.225,0.025,0.075,2,10.0,4,0.675,1,0,0,"Queen's Gambit Declined: Vienna Variation, Quiet Variation",D37,draw,0,1,-1,1,0.0,1.0
